Date,Open ,High ,Low ,Close 
3/6/2014,46591.9,47400.49,46501.58,47093.13
3/5/2014,47092.24,47153.51,46472.87,46589
2/28/2014,47613.49,47813.1,47043.47,47094.4
2/27/2014,46621.81,47781.38,46621.81,47606.75
2/26/2014,46717.53,47009.89,46402.96,46599.21
2/25/2014,47388.11,47388.11,46613.59,46715.91
2/24/2014,47375.76,47538.55,46991.26,47393.5
2/21/2014,47289.79,47815.61,47075.28,47380.24
2/20/2014,47126.94,47600.35,46634.22,47288.61
2/19/2014,46597.4,47155.22,46133.66,47150.83
2/18/2014,47575.3,47712.25,46599.76,46599.76
2/17/2014,48199.79,48297.85,47540.26,47576.33
2/14/2014,47815.64,48313.77,47756.18,48201.11
2/13/2014,48211.04,48211.04,47128.98,47812.83
2/12/2014,48467.19,48669.22,48044.39,48216.89
2/11/2014,47715.35,48603.74,47588.97,48462.79
2/10/2014,48070.25,48135.89,47464.56,47710.82
2/7/2014,47739.46,48253.16,47556.95,48073.6
2/6/2014,46632.17,48033.74,46632.17,47738.09
2/5/2014,46964.22,47148.43,46224.19,46624.39
2/4/2014,46147.52,47131.61,46145.89,46964.22
2/3/2014,47622.76,47622.76,46109.45,46147.52
1/31/2014,47233.71,47652.37,46813.69,47638.99
1/30/2014,47553.8,48034.03,47114.73,47244.26
1/29/2014,47839.04,47884.07,47153.97,47556.78
1/28/2014,47749.85,48487.51,47749.85,47840.93
1/27/2014,47781.54,48146.88,47492.69,47701.05
1/24/2014,48325.32,48327.15,47493.97,47787.38
1/23/2014,49293.58,49598.35,48320.64,48320.64
1/22/2014,48542.99,49487.04,48542.99,49299.66
1/21/2014,48728.2,49123.53,48440.05,48542.07
1/20/2014,49180.62,49292.2,48673.05,48708.41
1/17/2014,49696.28,49868.22,49174.03,49181.86
1/16/2014,50106.34,50577.38,49628.01,49696.28
1/15/2014,49714.97,50229.75,49714.97,50105.37
1/14/2014,49421.07,49833.53,49263.11,49703.1
1/13/2014,49708.29,50003.23,49308.77,49426.9
1/10/2014,49321.68,50145.37,49267.26,49696.45
1/9/2014,50575.78,50575.78,49258.63,49321.68
1/8/2014,50431.23,50792.61,50423.58,50576.64
1/7/2014,50981.58,51477.81,50429.14,50430.02
1/6/2014,50980.15,51002.29,50451.42,50973.62
1/3/2014,50348.27,50981.09,50268.72,50981.09
1/2/2014,51522.19,51656.14,50246.3,50341.25
12/30/2013,51274.46,51995.79,51274.46,51507.16
12/27/2013,51239.46,51395.28,51207,51266.56
12/26/2013,51357.99,51609.85,51184.96,51221.01
12/23/2013,51187.57,51604.98,51187.57,51356.1
12/20/2013,51619.6,51640.98,51024.65,51185.74
12/19/2013,50577.86,51633.43,50577.86,51633.43
12/18/2013,50110.39,50869.31,50110.39,50563.43
12/17/2013,50279.25,50563.21,50049.08,50090.35
12/16/2013,50048.67,50611.49,50048.67,50279.61
12/13/2013,50133.03,50518.64,50006.11,50051.18
12/12/2013,50076.84,50331.27,49842.31,50121.61
12/11/2013,50990.62,51038.59,50067.99,50067.99
12/10/2013,51166.59,51334.25,50955.66,50993.02
12/9/2013,50942.39,51298.21,50832.11,51165.38
12/6/2013,50787.63,51364.94,50609.96,50944.27
12/5/2013,50220.17,51123.76,50220.17,50787.63
12/4/2013,50358.89,50744.43,50113.76,50215.79
12/3/2013,51239.59,51257.25,50223.54,50348.89
12/2/2013,52479.11,52479.11,51244.87,51244.87
11/29/2013,51846.83,52482.49,51846.83,52482.49
11/28/2013,51861.51,52458.01,51696.89,51846.83
11/27/2013,51447.68,52112.99,51447.68,51861.21
11/26/2013,52258.64,52410.49,51433.29,51446.91
11/25/2013,52807.05,52995.1,52115.83,52263.51
11/22/2013,52685.61,53221.4,52095.78,52800.74
11/21/2013,53026.58,53026.58,52190.27,52688.02
11/19/2013,54303.64,54303.64,52831.06,53032.91
11/18/2013,53451.6,54317.16,53451.6,54307.04
11/14/2013,52232.73,53566.32,52232.73,53451.6
11/13/2013,51804.33,52271.39,51290.28,52230.29
11/12/2013,52624.45,52811.4,51635.66,51804.33
11/11/2013,52246.97,52645.52,52072.18,52623.87
11/8/2013,52738.9,52867.92,51735.25,52248.86
11/7/2013,53390.36,53890.99,52558.39,52740.79
11/6/2013,53839.76,53856.75,53073.47,53384.6
11/5/2013,54435.62,54538.63,53730.82,53831.85
11/4/2013,54014.21,54531.03,54008.39,54436.92
11/1/2013,54255.03,54387.33,53752.67,54013.24
10/31/2013,54174.11,54466.49,53602.45,54256.2
10/30/2013,54540.57,54764.15,53917.28,54172.82
10/29/2013,55075.8,55266.83,54223.63,54538.8
10/28/2013,54156.36,55076.06,54070.48,55073.37
10/25/2013,54863.43,54910.86,54141.4,54154.15
10/24/2013,55440.03,55864.1,54442.62,54877.15
10/23/2013,56458.88,56458.88,55379.85,55440.03
10/22/2013,56074.18,56720.21,55897.8,56460.38
10/21/2013,55380.32,56109.15,55256.84,56077.43
