"Date","Open.","High.","Low.","Close."
1994-06-24,3109.6,3109.6,3109.6,3109.6
1994-06-27,3372.1,3372.1,3372.1,3372.1
1994-06-28,3563.5,3563.5,3563.5,3563.5
1994-06-29,3828.3,3828.3,3828.3,3828.3
1994-06-30,3623.1,3623.1,3623.1,3623.1
1994-07-04,3580.8,3580.8,3580.8,3580.8
1994-07-05,3564.3,3564.3,3564.3,3564.3
1994-07-06,3753.5,3753.5,3753.5,3753.5
1994-07-07,3904.9,3904.9,3904.9,3904.9
1994-07-08,4051.9,4051.9,4051.9,4051.9
1994-07-11,4010.8,4010.8,4010.8,4010.8
1994-07-12,3919.7,3919.7,3919.7,3919.7
1994-07-13,3840.8,3840.8,3840.8,3840.8
1994-07-14,4016.5,4016.5,4016.5,4016.5
1994-07-15,4079.9,4079.9,4079.9,4079.9
1994-07-18,4045.3,4045.3,4045.3,4045.3
1994-07-19,3874.6,3874.6,3874.6,3874.6
1994-07-20,4038.6,4038.6,4038.6,4038.6
1994-07-21,4018.4,4018.4,4018.4,4018.4
1994-07-22,3986.6,3986.6,3986.6,3986.6
1994-07-25,3993.9,3993.9,3993.9,3993.9
1994-07-26,4077.2,4077.2,4077.2,4077.2
1994-07-27,4150,4150,4150,4150
1998-06-17,9248.77,9907.72,9248.77,9897.02
1998-06-18,9897.02,9897.02,9460.8,9539.43
1998-06-19,9539.43,9745.83,9539.43,9690
1998-06-22,9690.32,9693.9,9520.26,9623.35
1998-06-23,9619.78,9954.92,9619.78,9937.11
1998-06-24,9937.11,9948.15,9774.94,9855.64
1998-06-25,9855.64,9978.14,9513.05,9527.8
1998-06-26,9527.8,9565.09,9269,9464.15
1998-06-29,9464.15,9632.1,9464.15,9603.9
1998-06-30,9603.9,9809.29,9603.9,9678.27
1998-07-01,9678.27,9925.39,9678.27,9914.51
1998-07-02,9914.51,9914.51,9788.02,9900.84
1998-07-03,9917.03,10115.51,9901.48,10115.51
1998-07-06,10115.51,10115.51,9885.73,10018.09
1998-07-07,10018.09,10217.91,10012.67,10205.12
1998-07-08,10205.12,10387.46,10202.35,10335.79
1998-07-10,10335.79,10381.18,10172.83,10326.78
1998-07-13,10326.78,10457.67,10326.78,10447.15
1998-07-14,10419.52,10673.36,10418.88,10641.75
1998-07-15,10641.75,10791.95,10578.73,10648.56
1998-07-16,10648.56,10920.55,10648.56,10907.84
1998-07-17,10907.84,11110.25,10907.84,11057.08
1998-07-20,11057.08,11097.19,10950.3,11041.29
1998-07-21,11041.29,11156.02,10898.63,10922.88
1998-07-22,10922.88,10931.93,10718.78,10912.47
2002-06-07,12051.24,12310.48,11954.95,12282.51
